name,unit name,unit symbol,slope,offset,inverse slope
distance,meters,m,1,,1.00000000000000000E+00
distance,meters,meters,1,,1.00000000000000000E+00
distance,millimeters,cm,0.01,,1.00000000000000000E+02
distance,millimeters,mm,0.001,,1.00000000000000000E+03
distance,micrometers,um,0.000001,,1.00000000000000000E+06
distance,nanometers,nm,0.000000001,,1.00000000000000000E+09
distance,picometers,pm,1E-12,,1.00000000000000000E+12
distance,kilometers,km,1000,,1.00000000000000000E-03
distance,astronomical units,au,149597870700,,6.68458712226845000E-12
distance,parsecs,parsec,3.08568047999355E+016,,3.24077624525171000E-17
distance,light-years,lyr,9.4605281696562E+015,,1.05702343681763000E-16
mass,kilograms,kg,1,,1.00000000000000000E+00
mass,kilograms,kilograms,1,,1.00000000000000000E+00
mass,grams,g,0.001,,1.00000000000000000E+03
mass,milligrams,mg,0.000001,,1.00000000000000000E+06
mass,micrograms,ug,0.000000001,,1.00000000000000000E+09
mass,nanograms,ng,1E-12,,1.00000000000000000E+12
mass,picograms,pg,1E-15,,1.00000000000000000E+15
mass,tons,ton,1000,,1.00000000000000000E-03
mass,earth masses,earth_mass,5.9722E+024,,1.67442483506915000E-25
mass,jupiter masses,jupiter_mass,1.8986E+027,,5.26703887074687000E-28
mass,solar masses,solar_mass,1.98855E+030,,5.02878982172940000E-31
time,seconds,s,1,,1.00000000000000000E+00
time,seconds,seconds,1,,1.00000000000000000E+00
time,milliseconds,ms,0.001,,1.00000000000000000E+03
time,microseconds,us,0.000001,,1.00000000000000000E+06
time,nanoseconds,ns,0.000000001,,1.00000000000000000E+09
time,picoseconds,ps,1E-12,,1.00000000000000000E+12
time,minutes,min,60,,1.66666666666667000E-02
time,hours,hr,3600,,2.77777777777778000E-04
time,days,d,86400,,1.15740740740741000E-05
time,years,yr,31556925.19008,,3.16887654287165000E-08
time,millennia,kyr,31556925190.08,,3.16887654287165000E-11
time,million years,Myr,31556925190080,,3.16887654287165000E-14
time,billion years,Gyr,3.155692519008E+016,,3.16887654287165000E-17
temperature,degrees kelvin,K,1,,1.00000000000000000E+00
temperature,degrees celsius,C,1,273.15,1.00000000000000000E+00
temperature,degrees celsius,celsius,1,273.15,1.00000000000000000E+00
temperature,degrees fahrenheit,F,0.555555555555556,459.67,1.80000000000000000E+00
amount,count,count,1.66053906717384666379e-24,,6.02214076000000000E+23
amount,moles,moles,1,,1.00000000000000000E+00
amount,moles,mol,1,,1.00000000000000000E+00
amount,millimoles,mmol,0.001,,1.00000000000000000E+03
amount,micromoles,umol,0.000001,,1.00000000000000000E+06
amount,nanomoles,nmol,0.000000001,,1.00000000000000000E+09
amount,picomoles,pmol,1E-12,,1.00000000000000000E+12
current,amperes,A,1,,1.00000000000000000E+00
current,amperes,amperes,1,,1.00000000000000000E+00
current,milliamperes,mA,0.001,,1.00000000000000000E+03
current,microamperes,uA,1.00E-06,,1.00000000000000000E+06
current,nanoamperes,nA,1.00E-09,,1.00000000000000000E+09
current,kiloamperes,kA,1000,,1.00000000000000000E-03
current,megaamperes,MA,1000000,,1.00000000000000000E-06
current,gigaamperes,GA,1000000000,,1.00000000000000000E-09
luminosity,candela,cd,1,,1.00000000000000000E+00
luminosity,candela,candela,1,,1.00000000000000000E+00
luminosity,millicandela,mcd,0.001,,1.00000000000000000E+03
luminosity,microcandela,ucd,1.00E-06,,1.00000000000000000E+06
luminosity,nanocandela,ncd,1.00E-09,,1.00000000000000000E+09
luminosity,kilocandela,kcd,1000,,1.00000000000000000E-03
luminosity,megacandela,Mcd,1000000,,1.00000000000000000E-06
luminosity,gigacandela,Gcd,1000000000,,1.00000000000000000E-09
angle,radians,rad,1,,1.00000000000000000E+00
angle,radians,radians,1,,1.00000000000000000E+00
angle,degrees,degrees,0.0174532925199433,,5.72957795130823000E+01
angle,degrees,deg,0.0174532925199433,,5.72957795130823000E+01
angular velocity,radians per second,radps,1,,1.00000000000000000E+00
angular velocity,radians per second,radians_per_second,1,,1.00000000000000000E+00
angular velocity,degrees per second,degrees_per_second,0.0174532925199433,,5.72957795130823000E+01
angular acceleration,radians per second squared,radps2,1,,1.00000000000000000E+00
angular acceleration,radians per second squared,radians_per_second_squared,1,,1.00000000000000000E+00
angular acceleration,degrees per second squared,degrees_per_second_squared,0.0174532925199433,,5.72957795130823000E+01
moment of inertia,kilogram meters squared,kgm2,1,,1.00000000000000000E+00
moment of inertia,kilogram meters squared,kilogram_meters_squared,1,,1.00000000000000000E+00
moment of inertia,gram cm squared,gcm2,10,,1.00000000000000000E-01
angular momentum,kilogram meters squared radians per second,kgm2radps,1,,1.00000000000000000E+00
angular momentum,kilogram meters squared radians per second,kilogram_meters_squared_radians_per_second,1,,1.00000000000000000E+00
angular momentum,gram cm squared radians per second,gcm2radps,10,,1.00000000000000000E-01
torque,newton meters,Nm,1,,1.00000000000000000E+00
torque,newton meters,newton_meters,1,,1.00000000000000000E+00
frequency,hertz,Hz,1,,1.00000000000000000E+00
frequency,hertz,hertz,1,,1.00000000000000000E+00
frequency,kilohertz,kHz,1000,,1.00000000000000000E-03
frequency,megahertz,MHz,1000000,,1.00000000000000000E-06
frequency,gigahertz,GHz,1000000000,,1.00000000000000000E-09
area,square meters,m2,1,,1.00000000000000000E+00
area,square meters,square_meters,1,,1.00000000000000000E+00
area,square cm,cm2,1.00E-04,,1.00000000000000000E+04
area,square cm,square_cm,1.00E-04,,1.00000000000000000E+04
area density,kilograms per square meter,kgm2,1,,1.00000000000000000E+00
area density,kilograms per square meter,kilograms_per_square_meter,1,,1.00000000000000000E+00
area density,grams per square cm,gpcm2,10,,1.00000000000000000E-01
area density,grams per square cm,grams_per_square_cm,10,,1.00000000000000000E-01
volume,cubic meters,m3,1,,1.00000000000000000E+00
volume,cubic meters,cubic_meters,1,,1.00000000000000000E+00
volume,cubic cm,cc,1.00E-06,,1.00000000000000000E+06
volume,liters,L,0.001,,1.00000000000000000E+03
volume,liters,liters,0.001,,1.00000000000000000E+03
volume,milliliters,mL,0.000001,,1.00000000000000000E+06
volume,microliters,uL,0.000000001,,1.00000000000000000E+09
volume,nanoliters,nL,1E-12,,1.00000000000000000E+12
volume,megaliters,ML,1000,,1.00000000000000000E-03
volume,gigaliters,GL,1.00E+06,,1.00000000000000000E-06
density,kilograms per liter,kgpL,1,,1.00000000000000000E+00
density,kilograms per liter,kilograms_per_liter,1,,1.00000000000000000E+00
density,grams per cc,gpcc,1,,1.00000000000000000E+00
density,grams per cc,grams_per_cubic_centimeter,1,,1.00000000000000000E+00
density,kilograms per cubic meter,kgpm3,0.001,,1.00000000000000000E+03
density,kilograms per cubic meter,kilograms_per_cubic_meter,0.001,,1.00000000000000000E+03
velocity,meters per second,mps,1,,1.00000000000000000E+00
velocity,meters per second,meters_per_second,1,,1.00000000000000000E+00
velocity,centimeters per second,cmps,0.01,,1.00000000000000000E+02
velocity,millimeters per second,mmps,0.001,,1.00000000000000000E+03
velocity,kilometers per hour,kph,2.777777777777780E-01,,3.60000000000000000E+00
velocity,kilometers per second,kmps,1000,,1.00000000000000000E-03
velocity,light speed,c,299792458,,3.33564095198152000E-09
acceleration,meters per second squared,mps2,1,,1.00000000000000000E+00
acceleration,meters per second squared,meters_per_second_squared,1,,1.00000000000000000E+00
acceleration,millimeters per second squared,mmps2,0.001,,1.00000000000000000E+03
acceleration,kilometers per hour squared,kilometers_per_hour_squared,1.00E-06,,1.00000000000000000E+06
acceleration,kilometers per hour squared,kph2,7.716049382716050E-05,,1.29600000000000000E+04
momentum,kilogram meters per second,kgmps,1,,1.00000000000000000E+00
momentum,kilogram meters per second,kilogram_meters_per_second,1,,1.00000000000000000E+00
momentum,gram centimeters per second,gram_centimeters_per_second,0.00001,,1.00000000000000000E+05
momentum,gram centimeters per second,gcmps,0.00001,,1.00000000000000000E+05
force,newtons,N,1,,1.00000000000000000E+00
force,newtons,newtons,1,,1.00000000000000000E+00
force,millinewtons,mN,0.001,,1.00000000000000000E+03
force,micronewtons,uN,1.00E-06,,1.00000000000000000E+06
force,nanonewtons,nN,1.00E-09,,1.00000000000000000E+09
force,kilonewtons,kN,1000,,1.00000000000000000E-03
force,meganewtons,MN,1000000,,1.00000000000000000E-06
force,giganewtons,GN,1000000000,,1.00000000000000000E-09
pressure,pascals,Pa,1,,1.00000000000000000E+00
pressure,pascals,pascals,1,,1.00000000000000000E+00
pressure,millipascals,mPa,0.001,,1.00000000000000000E+03
pressure,micropascals,uPa,1.00E-06,,1.00000000000000000E+06
pressure,nanopascals,nPa,1.00E-09,,1.00000000000000000E+09
pressure,kilopascals,kPa,1000,,1.00000000000000000E-03
pressure,megapascals,MPa,1000000,,1.00000000000000000E-06
pressure,gigapascals,GPa,1000000000,,1.00000000000000000E-09
pressure,hectopascals,hPa,100,,1.00000000000000000E-02
pressure,bar,bar,100000,,1.00000000000000000E-05
pressure,millibar,mbar,100,,1.00000000000000000E-02
pressure,atmospheres,atm,101325,,9.86923266716013000E-06
pressure,torr,torr,133.3223684211,,7.50061682703903000E-03
pressure,mm Hg,mmHg,133.3223684211,,7.50061682703903000E-03
energy,joules,J,1,,1.00000000000000000E+00
energy,joules,joules,1,,1.00000000000000000E+00
energy,millijoules,mJ,0.001,,1.00000000000000000E+03
energy,microjoules,uJ,1.00E-06,,1.00000000000000000E+06
energy,nanojoules,nJ,1.00E-09,,1.00000000000000000E+09
energy,kilojoules,kJ,1000,,1.00000000000000000E-03
energy,megajoules,MJ,1000000,,1.00000000000000000E-06
energy,gigajoules,GJ,1000000000,,1.00000000000000000E-09
charge,coulombs,C,1,,1.00000000000000000E+00
charge,coulombs,coulombs,1,,1.00000000000000000E+00
charge,millicoulombs,mC,0.001,,1.00000000000000000E+03
charge,microcoulombs,uC,1.00E-06,,1.00000000000000000E+06
charge,nanocoulombs,nC,1.00E-09,,1.00000000000000000E+09
charge,kilocoulombs,kC,1000,,1.00000000000000000E-03
charge,megacoulombs,MC,1000000,,1.00000000000000000E-06
charge,gigacoulombs,GC,1000000000,,1.00000000000000000E-09
power,watts,W,1,,1.00000000000000000E+00
power,watts,watts,1,,1.00000000000000000E+00
power,milliwatts,mW,0.001,,1.00000000000000000E+03
power,microwatts,uW,1.00E-06,,1.00000000000000000E+06
power,nanowatts,nW,1.00E-09,,1.00000000000000000E+09
power,kilowatts,kW,1000,,1.00000000000000000E-03
power,megawatts,MW,1000000,,1.00000000000000000E-06
power,gigawatts,GW,1000000000,,1.00000000000000000E-09
voltage,volts,V,1,,1.00000000000000000E+00
voltage,volts,volts,1,,1.00000000000000000E+00
voltage,millivolts,mV,0.001,,1.00000000000000000E+03
voltage,microvolts,uV,1.00E-06,,1.00000000000000000E+06
voltage,nanovolts,nV,1.00E-09,,1.00000000000000000E+09
voltage,kilovolts,kV,1000,,1.00000000000000000E-03
voltage,megavolts,MV,1000000,,1.00000000000000000E-06
voltage,gigavolts,GV,1000000000,,1.00000000000000000E-09
resistance,ohms,Ohm,1,,1.00000000000000000E+00
resistance,ohms,ohms,1,,1.00000000000000000E+00
resistance,milliohms,mOhm,0.001,,1.00000000000000000E+03
resistance,microohms,uOhm,1.00E-06,,1.00000000000000000E+06
resistance,nanoohms,nOhm,1.00E-09,,1.00000000000000000E+09
resistance,kiloohms,kOhm,1000,,1.00000000000000000E-03
