category,name,desc first name,desc name,unit name,unit symbol,si units,unit symbol human,uom name,uom module,uom type
base,amount,amount,amount,moles,mol,mol,mol,AmountOfSubstance,amount_of_substance,mole
base,current,electrical current,electrical current,amperes,A,A,A,ElectricCurrent,electric_current,ampere
base,distance,distance (aka length),distance,meters,m,m,m,Length,length,meter
base,luminosity,luminosity,luminosity,candela,cd,cd,cd,LuminousIntensity,luminous_intensity,candela
base,mass,mass,mass,kilograms,kg,kg,kg,Mass,mass,kilogram
base,temperature,temperature,temperature,degrees kelvin,K,K,K,ThermodynamicTemperature,thermodynamic_temperature,kelvin
base,time,time,time,seconds,s,s,s,Time,time,second
chemical,catalytic activity,catalytic activity,catalytic activity,moles per second,molps,mol/s,mol/s,CatalyticActivity,catalytic_activity,mole_per_second
chemical,concentration,chemical concentration,chemical concentration,moles per cubic meter,molpm3,mol/m^3,mol/m³,MolarConcentration,molar_concentration,mole_per_cubic_meter
electromagnetic,capacitance,electrical capacitance,electrical capacitance,farads,F,s^4.A^2/kg.m^2,F,Capacitance,capacitance,farad
electromagnetic,charge,electric charge (aka coulombs),electric charge,coulombs,C,A.s,C,ElectricCharge,electric_charge,coulomb
electromagnetic,conductance,electrical conductance,electrical conductance,siemens,S,A^2.s^3/kg.m^2,S,,,
electromagnetic,illuminance,illuminance,illuminance,lux,lux,cd.sr/m^2,lux,Luminance,luminance,candela_per_square_meter
electromagnetic,inductance,inductance,inductance,henries,H,kg.m^2/A^2.s^2,H,Inductance,inductance,henry
electromagnetic,luminous flux,luminous flux,luminous flux,lumens,lm,cd.sr,lm,,,
electromagnetic,magnetic flux,magnetic flux,magnetic flux,webers,Wb,kg.m^2/A.s^2,Wb,MagneticFlux,magnetic_flux,weber
electromagnetic,magnetic flux density,magnetic flux density,magnetic flux density,teslas,T,kg/A.s^2,T,MagneticFluxDensity,magnetic_flux_density,tesla
electromagnetic,resistance,electrical resistance,electrical resistance,ohms,Ohm,kg.m^2/A^2.s^3,Ohm,ElectricalResistance,electrical_resistance,ohm
electromagnetic,voltage,voltage,voltage,volts,V,kg.m^2/A.s^3,V,ElectricPotential,electric_potential,volt
geometry,angle,angle,angle,radians,rad,rad,rad,Angle,angle,radian
geometry,area,area,area,square meters,m2,m^2,m²,Area,area,square_meter
geometry,solid angle,solid angle,solid angle,steradian,sr,sr,sr,,,
geometry,volume,volume,volume,cubic meters,m3,m^3,m³,Volume,volume,cubic_meter
mechanical,acceleration,acceleration,acceleration,meters per second squared,mps2,m/s^2,m/s²,Acceleration,acceleration,meter_per_second_squared
mechanical,angular acceleration,angular acceleration,angular acceleration,radians per second squared,radps2,rad/s^2,rad/s²,AngularAcceleration,angular_acceleration,radian_per_second_squared
mechanical,angular momentum,angular momentum,angular momentum,kilogram meters squared radians per second,kgm2radps,kg.m^2.rad/s,kg·m²·rad/s,,,
mechanical,angular velocity,angular velocity,angular velocity,radians per second,radps,rad/s,rad/s,AngularVelocity,angular_velocity,radian_per_second
mechanical,area density,area density,area density,kilograms per square meter,kgpm2,kg/m^2,kg/m²,ArealMassDensity,areal_mass_density,kilogram_per_square_meter
mechanical,density,density,density,kilograms per cubic meter,kgpm3,kg/m^3,kg/m³,MassDensity,mass_density,kilogram_per_cubic_meter
mechanical,energy,energy,energy,joules,J,kg.m^2/s^2,J,Energy,energy,joule
mechanical,force,force,force,newtons,N,kg.m/s^2,N,Force,force,newton
mechanical,frequency,frequency,frequency,hertz,Hz,1/s,Hz,Frequency,frequency,hertz
mechanical,moment of inertia,moment of inertia,moment of inertia,kilogram meters squared,kgm2,kg.m^2,kg·m²,MomentOfInertia,moment_of_inertia,kilogram_square_meter
mechanical,momentum,momentum,momentum,kilogram meters per second,kgmps,kg.m/s,kg·m/s,Momentum,momentum,kilogram_meter_per_second
mechanical,power,power (aka watts),power,watts,W,kg.m^2/s^3,W,Power,power,watt
mechanical,pressure,pressure,pressure,pascals,Pa,kg/m.s^2,Pa,Pressure,pressure,pascal
mechanical,torque,torque,torque,newton meters,Nm,kg.m^2/s^2,Nm,Torque,torque,newton_meter
mechanical,velocity,velocity,velocity,meters per second,mps,m/s,m/s,Velocity,velocity,meter_per_second
nuclear,absorbed dose,absorbed radiation dose,absorbed dose,grays,Gy,m^2/s^2,Gy,,,
nuclear,dose equivalent,radiation dose equivalent,dose equivalent,sieverts,Sv,m^2/s^2,Sv,,,
nuclear,radioactivity,radioactivity,radioactivity,becquerels,Bq,1/s,Bq,Radioactivity,radioactivity,becquerel
